Mean of the integrated profile;Standard Deviation of the integrated profile;Excess kurtosis of the integrated profile;Skewness of the integrated profile;Mean of the DM-SNR curve;Standard Deviation of the DM-SNR curve;Excess kurtosis of the DM-SNR curve;Skewness of the DM-SNR curve;Pulsar
-1.640563632;-0.157200182;1.39400658;0.768874942;1.316361609;1.428186314;-1.193214453;-0.778742168;1
-0.721007636;2.984611616;-0.060148535;-0.516442153;2.985451935;2.232196365;-1.484369267;-0.793014325;1
0.841523381;-0.573540468;-0.605101102;-0.406732239;-0.515332825;-0.646134579;0.224096352;-0.08601312;0
-0.810171456;-1.306889422;0.631105553;0.470591085;-0.465440714;-0.268294606;-0.112322131;-0.39314115;1
0.321906072;0.464190343;-0.599658676;-0.509291358;-0.564986735;-1.031510823;2.077372505;2.854560408;0
-1.762839259;0.296165851;1.329694081;0.618836483;3.639224817;1.745079134;-1.559799148;-0.787907166;1
0.980679536;0.162733016;-0.525066305;-0.478070837;-0.563839043;-0.961771895;1.500915144;1.565770225;0
-1.982935387;-1.173511471;1.927119554;1.577345353;1.080824938;1.900913723;-1.216878663;-0.786218666;1
0.677262849;-0.17376795;-0.561088574;-0.497950427;-0.526593197;-0.757757149;0.38140542;0.103334115;0
0.821396596;1.394846125;-0.672085028;-0.540037163;-0.505609926;-0.618404796;0.209741475;-0.106059597;0
-0.177151619;0.322594298;-0.346595006;-0.418331476;-0.539152843;-0.86920939;0.56879527;0.390424171;0
-0.255061753;-0.302905325;0.094719378;-0.171568621;-0.248548621;0.471137476;-0.667093583;-0.669662677;1
0.791098211;1.009184715;-0.673944697;-0.509979088;-0.556346565;-0.890631166;1.005057868;0.799280122;0
-1.103416543;-0.766608713;0.992179011;0.598336554;-0.382698633;0.159441783;-0.384432379;-0.553756194;1
-1.601824982;-1.557016719;1.935390926;1.806523695;2.057748846;1.780110812;-1.335972409;-0.78849115;1
0.738725287;0.505362966;-0.477106465;-0.487263705;-0.445150389;-0.32902798;-0.275601908;-0.468392508;0
0.742404377;0.949019359;-0.578343672;-0.497715687;-0.013704897;0.893328953;-0.888110059;-0.732023138;0
0.753008812;0.427803853;-0.651752065;-0.486055392;-0.438026038;-0.280602982;-0.288900453;-0.487406748;0
-1.389087033;-1.039796071;1.184955673;0.748348548;-0.231419863;0.383926071;-0.695833876;-0.671886249;1
0.188809593;-0.543056681;-0.443683471;-0.420471706;-0.44040804;-0.144044278;-0.233532404;-0.467241962;0
0.845418887;0.923675198;-0.755324428;-0.530847181;-0.471677228;-0.344794364;0.020547722;-0.298968009;0
0.016108796;0.329147594;-0.39219948;-0.455943809;-0.567217155;-0.872693713;1.619597807;1.407393412;0
0.123018813;-0.111931958;-0.441328285;-0.406362045;-0.493418408;-0.530185022;-0.06305059;-0.333316816;0
0.781575861;0.354644908;-0.737172786;-0.480871988;-0.480079198;-0.367735574;-0.057906204;-0.347184549;0
0.630733185;-0.137138215;-0.763874237;-0.461626924;-0.537853569;-0.89336794;0.608451773;0.51027041;0
1.223932287;1.25718942;-0.72673533;-0.546929128;3.307217073;0.427464001;-1.582683787;-0.756247396;0
-0.243375232;-0.725233964;-0.417668035;-0.361154201;-0.514336715;-0.51438125;0.201667766;-0.177227083;0
0.137951589;0.315970264;-0.481347069;-0.453641413;-0.548594232;-0.927795848;0.935079708;0.893182507;0
1.131305795;-0.346254719;-0.655977541;-0.447425264;-0.553423199;-0.832968327;1.038812123;0.708078119;0
-0.646343758;-0.855680582;-0.080289112;-0.222159565;-0.548182795;-0.771143353;0.702281864;0.319568872;0
0.983492958;0.189100386;-0.650154548;-0.489178763;-0.533890784;-0.86647044;0.598665576;0.449028291;0
1.192768234;1.359637953;-0.671114235;-0.559493684;-0.560092804;-0.913991804;1.214297464;1.067550971;0
1.431476227;-0.006506364;-0.782212041;-0.489131004;-0.554246072;-0.986829103;1.390929369;1.694194506;0
-1.755481079;-1.953968315;2.353216607;2.821093562;0.060158814;1.099103727;-0.907363184;-0.738560049;1
0.59091245;1.501645556;-0.532691988;-0.572462478;-0.461153111;-0.197854732;-0.159460333;-0.435074837;0
0.997992899;0.760264844;-0.749412346;-0.524824152;-0.457558453;-0.180024222;-0.217371591;-0.473029564;0
0.487465106;0.259709653;-0.531836465;-0.493375904;-0.489260732;-0.44289589;0.07498948;-0.243873084;0
0.303510623;-0.182364493;-0.370110007;-0.428435566;-0.524665941;-0.712879409;0.206842272;-0.098872722;0
0.61580041;-0.030094957;-0.516403435;-0.453708154;-0.565224935;-0.959439331;1.531514619;1.581620089;0
0.603031804;0.655294876;-0.666969718;-0.534462466;-0.510308966;-0.725798898;0.160318059;-0.089797201;0
0.746732718;0.996011206;-0.530076504;-0.517848005;-0.510547166;-0.683020907;0.202731159;-0.065413738;0
0.570136415;-0.230716835;-0.452544275;-0.465330539;-0.491512806;-0.391937344;0.009190402;-0.312134959;0
0.437689187;-0.11064321;-0.640989708;-0.504260193;-0.533327766;-0.789351507;0.630473926;0.361840127;0
0.34614478;-0.380493939;-0.510252351;-0.432315022;-0.103116583;0.548042832;-0.919817264;-0.743013165;0
-1.172020744;-1.812689718;1.111757393;1.142053347;-0.255304844;0.208375619;-0.60574019;-0.629255391;1
0.751926727;0.698075554;-0.756801823;-0.504538476;-0.52176423;-0.746574117;0.2791601;-0.00569049;0
-0.177368036;-0.761824312;-0.111336474;-0.26459294;-0.234386538;0.364813219;-0.752210688;-0.696357945;1
-1.450765889;-1.790959256;2.251089134;2.610002583;0.333894132;1.025743321;-1.057407761;-0.762608792;1
0.478808424;0.704736062;-0.573619952;-0.527998063;-0.557949003;-0.903713024;1.008386833;0.813789113;0
-0.175853117;-0.404514925;-0.351740068;-0.429407989;-0.551344361;-0.789604242;0.893163134;0.544082593;0
0.869224762;1.03489071;-0.771808482;-0.528253069;-0.491729352;-0.590551095;0.077291249;-0.185151733;0
-0.69590326;-1.921960337;1.00160388;0.886440633;-0.307080902;0.360567871;-0.598118657;-0.645654224;1
-1.922338616;-1.247704102;1.982411983;1.730996005;4.161489542;1.900294934;-1.65669729;-0.77693698;1
1.119619275;1.161111955;-0.831880033;-0.531835729;-0.553466508;-0.91986747;1.054473584;0.941139092;0
-1.592519049;1.65586741;0.565670571;-0.166005019;1.471451581;1.541354821;-1.21641508;-0.784278278;1
-0.734858327;-1.000572539;0.747522196;0.33934163;0.034346576;0.948647749;-0.914766352;-0.739137801;1
-0.997805028;0.258506723;0.49990243;-0.073463451;1.987934539;1.895318368;-1.372491008;-0.791174492;1
0.395920699;0.502229976;-0.470848166;-0.472038022;0.100696154;0.920903218;-0.990285286;-0.75603206;0
0.737210368;0.35602845;-0.761968055;-0.52642853;-0.544566483;-0.94272136;0.979077378;1.03206111;0
1.43125981;-0.356335739;-0.624670522;-0.460076658;-0.482049763;-0.334999529;-0.066961706;-0.369794285;0
-1.669347098;-2.065757231;2.371023007;2.705883108;-0.074554216;0.650754025;-0.811143467;-0.706654981;1
0.373413327;-0.283731684;-0.329878026;-0.427314045;-0.542011245;-0.715863226;0.529577046;0.120587757;0
-0.86319363;-1.137810335;0.915998328;0.632563995;-0.306734429;0.198894597;-0.508120381;-0.593971863;1
0.540054446;-0.713441346;-0.647363666;-0.421560092;-0.556303256;-0.863640446;1.197498241;1.025424182;0
0.812956332;-0.267989446;-0.500764968;-0.4479838;-0.559161658;-0.90826294;1.473020845;1.460233692;0
0.859053161;0.118974082;-0.687656587;-0.523807542;-0.491686043;-0.345517688;-0.009799564;-0.343552009;0
0.878314277;-0.020532743;-0.609813972;-0.497016086;-0.500391177;-0.668448851;-0.041918754;-0.268713093;0
-0.147718902;-0.96439477;-0.465305017;-0.314636775;-0.554072836;-0.717796221;1.091329988;0.688112539;0
0.789799708;-0.036523892;-0.756659939;-0.424943382;-0.555913474;-0.844779618;0.902007622;0.577611498;0
0.308488215;-0.489275705;-0.549894875;-0.431342405;-0.533089565;-0.666527291;0.613295893;0.241392231;0
0.415614649;0.503854221;-0.562690988;-0.51633605;-0.536944077;-0.780540139;0.623170995;0.30386775;0
-1.266162156;-1.122625814;1.394924462;1.013868623;-0.290190344;0.227898487;-0.582917905;-0.626929885;1
-2.157800353;-1.598390724;2.559614191;2.682630016;1.204342559;1.470035437;-1.222262588;-0.780739142;1
0.674016593;-0.096705107;-0.417499738;-0.464050216;-0.503379506;-0.538759142;0.268235703;-0.082104834;0
0.049220603;0.446560584;-0.452509524;-0.514312286;-0.54350541;-0.842688007;0.542193137;0.294896394;0
1.004918245;0.419202402;-0.904140522;-0.482275869;-0.561673587;-0.852847314;1.255657083;0.930426258;0
0.393756528;-0.185757992;-0.429069019;-0.425539579;-0.541426572;-0.917113026;0.727348739;0.69833855;0
-0.861895128;-1.417713774;0.94064474;0.675890391;0.558906686;1.725770742;-1.111351662;-0.777217206;1
-0.328859963;-1.356572564;0.812523941;0.641561268;-0.393352677;0.028858458;-0.346559926;-0.524772754;1
-1.603989152;-1.302594819;1.90018145;1.612347235;0.603081992;1.073201364;-1.060656209;-0.758793679;1
0.011347622;0.290843064;-0.510298312;-0.496862315;-0.518451082;-0.697917424;0.273266656;-0.033413158;0
0.918351429;1.199845649;-0.498151525;-0.544508829;-0.53856817;-0.881479481;0.598544743;0.454665181;0
0.596106459;0.638345742;-0.435587305;-0.476205366;-0.397250498;0.038158258;-0.371582217;-0.546460182;0
1.303573757;-0.711831923;-0.726362622;-0.385732052;-0.542920737;-0.692639943;0.76702229;0.387622261;0
0.816635421;0.31357307;-0.54340391;-0.497989121;-0.491036406;-0.405433706;-0.005467404;-0.32161711;0
0.396786367;5.281035303;-0.557616151;-0.650328822;2.535924884;0.257633048;-1.318212283;-0.779613046;0
0.298965866;0.020881145;-0.49041014;-0.435714331;-0.492638844;-0.360825042;0.029047773;-0.310227715;0
1.221335283;0.276674212;-0.847631978;-0.492774055;-0.528498798;-0.822185472;0.438402952;0.222926471;0
1.002754074;0.138229016;-0.683796817;-0.498819151;0.420858853;1.815954538;-1.083680808;-0.777117039;0
-1.520452176;-0.640839816;1.343415696;0.800064909;0.304877019;1.104138115;-1.045342553;-0.762604222;1
0.256115292;-0.212151104;-0.430982716;-0.425159295;-0.459377436;-0.244729989;-0.218146707;-0.461506019;0
-0.547224754;-1.207627575;0.273443443;0.063454642;0.688574203;1.703880383;-1.162940616;-0.783578204;1
-0.68270182;-0.767351705;0.704756527;0.242736275;-0.468710553;-0.290403306;0.003178053;-0.314921138;1
-1.498594055;-1.404753616;1.769539998;1.564400733;1.158564815;1.662416741;-1.163428272;-0.779613923;1
0.024332644;0.214859101;-0.413861412;-0.433002755;-0.475899867;-0.529125469;-0.156085344;-0.37264744;0
0.338786601;0.516778414;-0.595636691;-0.489951637;-0.437376402;-0.311731818;-0.382554124;-0.535984525;0
0.228413911;1.403586392;-0.544635269;-0.525128983;-0.479277979;-0.340836473;-0.088076516;-0.385245838;0
-0.210047009;0.123612578;-0.20729703;-0.41156262;-0.385145598;0.001333166;-0.465964784;-0.585073387;1
0.778762439;0.479736294;-0.580907203;-0.517769236;0.859710206;2.049308203;-1.220435486;-0.792120524;0
0.809710076;0.538375626;-0.692814954;-0.523357169;-0.432785634;-0.091694309;-0.275131839;-0.497394691;0
1.19082048;-0.342654931;-0.764309892;-0.462098553;-0.5660045;-1.018282595;1.937821155;2.510013242;0
1.1631191;0.788579865;-0.758879606;-0.503747597;-0.552535362;-0.725116946;0.895641482;0.443978907;0
0.273428655;-1.564628005;-0.177650301;-0.188567428;-0.555653619;-0.955042107;1.156136415;1.229714518;0
0.347010448;0.893493207;-0.554416756;-0.510728277;-0.452209776;-0.318954763;-0.190622216;-0.430328875;0
-0.443993827;-0.621031463;0.398623611;0.079723509;-0.168708251;0.729574474;-0.756098084;-0.701256791;1
-0.990446849;-1.208448662;0.87212403;0.611838441;-0.089084427;0.836526722;-0.815539557;-0.715383169;1
0.871388932;1.131182312;-0.638638436;-0.555395508;-0.288046542;0.270077001;-0.64992917;-0.659256172;0
0.198764777;0.766003066;-0.570449385;-0.524733327;-0.544371592;-0.909271702;0.818754001;0.724592554;0
0.100944275;0.420400033;-0.549853947;-0.47517307;-0.560569205;-0.987104367;1.448324667;1.718279486;0
1.020716688;1.083533504;-0.746100672;-0.550308759;0.127006447;1.349649036;-0.955334231;-0.753039052;0
0.414316147;0.981607338;-0.495217152;-0.526361076;-0.512582695;-0.546089136;0.246803964;-0.106068661;0
0.198764777;-0.035654648;-0.524357008;-0.478997644;-0.478346833;-0.364660908;-0.054970678;-0.350062754;0
-0.025876109;0.88428627;-0.170288453;-0.464644218;-0.408424252;-0.134820018;-0.304599857;-0.498083656;1
0.827889107;-0.42986842;-0.527057457;-0.439681522;-0.567065573;-1.031893693;2.183635025;2.956672439;0
-0.742000089;-0.761029865;-0.180092237;-0.251284798;-0.534756967;-0.592978821;0.675800446;0.244903733;0
0.561263316;0.215448358;-0.539148084;-0.502145088;-0.521959121;-0.662534636;0.295052679;-0.058223416;0
-2.451261857;-1.726775863;2.954518933;3.410681641;2.550108623;0.562905507;-1.254264063;-0.768916542;1
0.746299884;0.597187165;-0.591580904;-0.514809474;-0.539239461;-0.857177535;0.670234123;0.482100391;0
0.542651451;0.035889723;-0.640122518;-0.505543961;-0.525921905;-0.574917422;0.3320242;-0.068220352;0
-0.328643546;0.049586582;-0.129340683;-0.328989576;-0.438069348;-0.195218934;-0.336656395;-0.52577698;0
0.469502492;1.22113293;-0.655523981;-0.538578749;-0.566784064;-0.971989129;1.76738208;1.89065831;0
0.972888523;0.93970883;-0.843594521;-0.532047917;-0.540690317;-0.717595889;0.606712432;0.217201908;0
-2.20995686;-1.087086786;2.379009366;2.273372791;1.538061014;1.353867941;-1.263076974;-0.783506876;1
0.768590839;0.449384436;-0.599778339;-0.515243543;-0.532223383;-0.824930668;0.544769454;0.315977216;0
0.792180296;1.711301267;-0.696794138;-0.572413869;-0.520031865;-0.534608145;0.49903829;0.068099089;0
0.12323523;0.416103064;-0.54843053;-0.509340912;-0.541210026;-0.814547864;0.691422601;0.39910617;0
-1.225042918;-0.372929796;0.880757112;0.365040002;-0.386921272;-0.087113344;-0.416408594;-0.547992713;1
-2.064308193;-0.383768607;1.563932328;0.971705617;0.916466813;1.272422058;-1.083586016;-0.768420228;1
0.578576679;1.083879315;-0.596263849;-0.531226391;-0.386834654;-0.038831682;-0.474431638;-0.58998116;0
1.064649347;0.908064521;-0.743631551;-0.503563918;-0.423106045;0.023555941;-0.287501115;-0.51026453;0
0.925493191;1.013431253;-0.676230443;-0.545226799;-0.535883004;-0.858558927;0.550134975;0.361175883;0
0.627270513;-0.074493829;-0.61699044;-0.48896179;-0.54891905;-0.848705766;0.950320087;0.698225832;0
1.046037482;1.650576796;-0.718587689;-0.564280043;-0.490300151;-0.319902056;0.067400144;-0.282163658;0
0.810359327;0.101147587;-0.572820336;-0.466067954;-0.564813499;-0.83717998;1.351400662;1.00141171;0
0.421457909;0.42875165;-0.454186962;-0.487139192;-0.537766951;-0.776862673;0.441368607;0.123862893;0
-0.057905831;0.091639705;-0.315004717;-0.430776536;-0.429450832;-0.162367995;-0.339440277;-0.523097891;0
-1.50768357;-1.983209913;1.980888032;2.296865547;-0.257795119;0.398581525;-0.632050379;-0.652695386;1
-2.281807316;-2.015527597;3.202065143;4.090450554;2.82854298;1.96344322;-1.443213982;-0.790999378;1
0.205473705;-0.12323518;-0.541379254;-0.467032553;-0.486705494;-0.17415339;0.068589467;-0.311222895;0
-0.504374181;-0.886098842;0.480362077;0.060137852;2.731487234;2.099925834;-1.446853134;-0.792156632;1
0.510188895;0.865429028;-0.65527072;-0.519045856;-0.559140003;-0.957928465;1.342894968;1.415111462;0
0.553039469;0.516149617;-0.437901772;-0.4485937;-0.551690834;-0.763434764;0.816515877;0.403968591;0
-0.129756287;-0.206980143;-0.21185475;-0.384480951;-0.270008292;0.295921633;-0.732141484;-0.69297682;1
0.523606751;-0.883047454;-0.553098082;-0.362754455;-0.527307797;-0.79624162;0.282143004;0.049875201;0
-0.28665864;-0.435076994;-0.346269884;-0.407544409;-0.571677995;-1.00165254;2.18239568;2.62156469;0
-0.213293264;0.414089836;-0.384891255;-0.482049898;-0.544003465;-0.753488124;0.783827587;0.399314821;0
1.152731082;-0.224134613;-0.668177273;-0.478636248;-0.498095793;-0.616338091;-0.000224996;-0.26142509;0
0.413017645;-0.243300396;-0.633010426;-0.444432586;-0.531205619;-0.643939418;0.430400786;0.042146952;0
0.440286192;-0.810271225;-0.589401568;-0.426700987;-0.02539836;1.017133158;-0.888643969;-0.738552017;0
-0.037346212;0.432051657;-0.338224305;-0.482814761;-0.565441481;-0.874575203;1.502778684;1.299154771;0
0.489845693;0.023928635;-0.703435332;-0.48095218;-0.512864205;-0.506083155;0.271580057;-0.115056198;0
1.160954929;-0.241164823;-0.626824488;-0.504663148;-0.531920219;-0.727135673;0.59862261;0.260701231;0
0.913373837;-0.36076881;-0.609802682;-0.469727497;-0.447380809;-0.444984668;-0.3362116;-0.492389783;0
-0.083659458;-0.7299195;-0.311474602;-0.367499523;-0.521136247;-0.563154789;0.245777459;-0.137711531;0
-0.152263659;-0.982552872;-0.406111508;-0.308579856;-0.563449261;-0.882428281;1.375333955;1.182347918;0
0.531397765;0.753701668;-0.672919003;-0.54564659;-0.494479481;-0.584514687;0.034327813;-0.2476229;0
0.848448726;0.264425785;-0.586174942;-0.486330415;-0.518212881;-0.828845159;0.258956062;0.106773123;0
1.15944001;-0.34108085;-0.711954717;-0.464329202;-0.526160106;-0.81432615;0.381878459;0.166966721;0
-2.291329666;-0.864670517;2.202973805;1.945828909;2.644305966;1.508356102;-1.341047739;-0.791870718;1
-1.23002051;-1.418556219;1.042418049;0.798942428;0.271442375;1.406226116;-0.992282841;-0.757162676;1
-0.085823629;-0.305683482;-0.273654883;-0.371868378;-0.522652067;-0.657389568;0.274849471;-0.060981717;0
0.732882027;1.308301285;-0.446719486;-0.546503053;-0.534367185;-0.622494845;0.478050773;0.049471657;0
0.732882027;-0.61628642;-0.706127688;-0.385829841;0.870429214;2.444342653;-1.171885653;-0.787463513;0
0.83135178;0.003437525;-0.632660064;-0.498580206;-0.539261116;-0.766345694;0.497580863;0.156146158;0
-1.240624945;-2.010583821;1.911439894;2.126518231;0.785521677;1.820558708;-1.125713346;-0.777228109;1
0.497853124;-0.020272222;-0.545711818;-0.420699961;-0.56894952;-0.917761445;1.66431437;1.549502544;0
-0.275621371;-0.716213056;-0.315991988;-0.335743439;-0.527957434;-0.798417017;0.321533054;0.076129864;0
1.049283737;1.173345521;-0.722887127;-0.538699026;-0.551755798;-0.86289221;1.122185208;0.975197635;0
1.025910697;1.864910351;-0.785791894;-0.544140984;-0.336206288;0.203212469;-0.553632992;-0.627879036;0
0.986739213;0.136402981;-0.570068047;-0.476937616;-0.505111871;-0.509013906;0.118143993;-0.217237552;0
0.922246936;0.137627516;-0.659818835;-0.525117574;-0.50519849;-0.394625639;0.14896271;-0.23551742;0
0.074541397;0.798247578;-0.325357724;-0.4657617;-0.536770841;-0.709861803;0.732135375;0.388483626;1
0.022168474;-0.469220875;-0.476355678;-0.385651282;-0.522630412;-0.786038853;0.485086522;0.286695436;0
0.594807957;0.46209594;-0.549049634;-0.513067735;-0.462842166;-0.311492976;-0.165923765;-0.415706711;0
1.009246585;1.603993356;-0.713144227;-0.577384929;-0.490516697;-0.448690315;-0.015077155;-0.30743187;0
0.064153379;0.514561851;-0.365978371;-0.476487788;-0.483717164;-0.51725545;-0.068338904;-0.33363225;0
0.021519222;-0.978138065;-0.438425822;-0.350173222;-0.533565966;-0.855466223;0.422695006;0.257271806;0
0.575763258;0.371495968;-0.538713058;-0.491165414;-0.524449395;-0.774143177;0.168338386;-0.062840927;0
0.052466859;0.359148904;-0.338416528;-0.467779555;-0.557169438;-0.926751075;1.320697046;1.262904566;1
-2.085300646;-0.718262547;1.954127833;1.526256934;1.274135213;1.254852345;-1.187626954;-0.777600278;1
1.160089261;-0.154969964;-0.74000846;-0.479203243;-0.538633133;-0.873951489;0.55717935;0.406752191;0
1.390140573;1.488118019;-0.636478222;-0.556239516;-0.502816488;-0.50232487;0.152743746;-0.185548612;0
1.09949249;1.08548209;-0.749812217;-0.542925535;-0.523539904;-0.796243029;0.349194279;0.113644899;0
0.877448609;0.799005689;-0.708330602;-0.541004529;-0.563730771;-0.841576112;1.46098497;1.223200389;0
0.473614415;1.938977328;-0.437465621;-0.560317045;-0.545627557;-0.901856934;0.862422106;0.735574418;0
0.443099613;0.054887175;-0.518899564;-0.453013665;-0.562561424;-0.958633644;1.33493727;1.374332606;1
-0.722306138;2.236334967;0.155340283;-0.377522899;1.495856273;1.71159196;-1.283880446;-0.788533561;1
0.944105057;0.604289849;-0.748679126;-0.521503554;-0.533197838;-0.805980901;0.621808751;0.325141445;0
1.313096107;0.58440311;-0.785000877;-0.500344857;-0.543310519;-0.941797579;0.890748845;0.953036315;0
1.070059773;0.702012382;-0.663033525;-0.528620031;-0.463556767;-0.361624794;-0.10820576;-0.359439884;0
0.75603865;-0.233881961;-0.673635967;-0.467494988;-0.517628208;-0.658724666;0.221510971;-0.098792097;0
0.923545438;0.959756874;-0.833197601;-0.518572794;-0.527849161;-0.82058757;0.407009748;0.185862444;0
0.879612779;0.836327636;-0.552582294;-0.519540675;-0.514748151;-0.658621736;0.139952387;-0.163737223;0
0.704314978;1.092692332;-0.722872817;-0.529418084;-0.531703673;-0.78479873;0.275720461;0.014647351;0
0.824210018;-0.155972205;-0.61018901;-0.435689101;-0.527914125;-0.696775053;0.497824943;0.132509698;0
0.806680237;1.159847325;-0.481711414;-0.547382186;-0.517195117;-0.671673618;0.445325248;0.091680574;0
-0.818395303;1.742897983;0.364591868;-0.282091695;1.313156733;1.931282137;-1.256977205;-0.788781746;1
0.739158121;-0.399130315;-0.494462135;-0.446443082;-0.53980248;-0.623483671;0.660180888;0.217738696;0
-0.326262958;-0.450438927;0.336885196;-0.084191923;-0.501863687;-0.511925653;0.295165482;-0.091257603;1
-2.443687261;-1.646462367;2.761021576;3.043355684;1.810735258;0.843316875;-1.192566333;-0.773661644;1
0.898657479;1.077276859;-0.596110104;-0.550419431;-0.553683054;-0.744351689;0.972755771;0.56377849;0
0.995395895;0.065308154;-0.569694453;-0.451863184;-0.571872886;-1.042123674;2.481327703;3.393230271;0
0.669688252;0.53849997;-0.620460143;-0.511057596;-0.365201746;0.131628086;-0.478753533;-0.594450204;0
0.492659115;0.142602484;-0.682335018;-0.502572737;-0.555588655;-0.971174699;1.228015423;1.395885677;0
-0.986551342;-1.59374024;1.195732959;1.033255226;-0.37219617;-0.064644626;-0.34659803;-0.507328186;1
-0.193382897;-0.205218417;0.00671709;-0.233419417;-0.404786286;-0.032976788;-0.342136;-0.521035797;1
-2.127285551;-1.675911355;2.527608757;2.650407741;1.378640129;1.491492299;-1.242530609;-0.783733907;1
-0.261554264;-0.607764856;-0.333748248;-0.376483764;-0.399892355;-0.082716178;-0.436850032;-0.571819383;0
0.658434566;0.626576262;-0.4693577;-0.53418818;-0.554939018;-0.95263762;1.307397585;1.355614256;0
9.39E-05;0.006118656;-0.43177569;-0.458463573;-0.507602146;-0.624089331;0.040204126;-0.230637692;0
0.120421809;0.754255204;-0.573364406;-0.509157547;-0.519750355;-0.748808869;0.329180854;0.039553692;0
-2.399971019;-1.288629698;2.526554082;2.638727706;2.557752683;0.387742687;-1.253312804;-0.774270939;1
-0.001637401;1.119901343;-0.338832549;-0.460930481;-0.509464438;-0.715945159;0.073254259;-0.170115721;0
-0.779656653;-0.679978658;0.393959932;0.04615593;-0.404894559;-0.086419177;-0.358155392;-0.525748078;1
-0.430575971;-1.162660449;-0.236984299;-0.185719478;-0.533695893;-0.763555306;0.558147335;0.244063893;0
0.527935092;0.06511057;-0.675592338;-0.482291643;-0.518364463;-0.638904319;0.358369109;0.003975107;0
0.859702412;-0.302169197;-0.488498907;-0.441620196;-0.56894952;-0.973612851;1.860575626;2.026939656;0
-1.360519984;2.096534872;0.460709709;-0.252064013;0.006520464;0.527576743;-0.899435898;-0.725320395;1
1.062052343;0.975835498;-0.743064169;-0.543916124;-0.571028358;-0.919437511;1.739360986;1.599262674;0
0.370167071;0.637670932;-0.633563682;-0.527722953;-0.297228077;0.203937567;-0.652365468;-0.6619042;0
-1.853517998;-0.896842825;1.312358672;0.738597059;0.832187257;1.476842274;-1.17148863;-0.779198866;1
0.08233241;0.377934976;-0.275938471;-0.408667667;-0.551993998;-0.829634197;0.834730699;0.526710637;1
-0.24943491;-0.490762961;-0.328172368;-0.336606178;-0.511261767;-0.47857216;0.247529271;-0.14227019;0
0.292689771;0.160114113;-0.497082015;-0.446875901;-0.406367069;0.003602304;-0.368070901;-0.543369583;0
0.253518287;0.010376656;-0.620920723;-0.478260925;-0.534713658;-0.48875297;0.610629533;0.11911365;0
0.01437746;0.081832048;-0.425875895;-0.465953926;-0.528975199;-0.695870952;0.435738743;0.081186218;0
1.139313225;-0.222639743;-0.601969953;-0.443608197;-0.536770841;-0.743486691;0.780191293;0.455997365;0
0.643501791;0.282648426;-0.570974933;-0.494677323;-0.536121204;-0.890857228;0.639410439;0.52738687;0
-0.814716214;-0.921152293;0.464042279;0.252017603;-0.305954865;0.229854864;-0.593133813;-0.636859473;1
-0.031286535;-0.953629356;-0.375049737;-0.334057382;-0.541686427;-0.915502893;0.766328569;0.723379932;0
1.181298131;2.177518279;-0.775795615;-0.577292592;4.573597512;1.195281468;-1.831720906;-0.744912751;0
